Building ID;Primary Usage;Secondary Usage;Other Usages;Air change rate [vol/h];Building Parent ID
DEBW_52210004Eso;UsageZoneName [name=residential];No usage;No other usages;0,48;DEBW_52210004Eso
DEBW_52210005Kuv;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005Kuv
DEBW_52210004djO;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004djO
DEBW_52210004xx4;UsageZoneName [name=residential];No usage;No other usages;0,47;DEBW_52210004xx4
DEBW_52210003tcH;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210003tcH
DEBW_52210004H20;UsageZoneName [name=residential];No usage;No other usages;0,42;DEBW_52210004H20
DEBW_52210005L39;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_52210005L39
DEBW_522100050Oj;UsageZoneName [name=residential];No usage;No other usages;0,42;DEBW_522100050Oj
DEBW_52210005gIC;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005gIC
DEBW_52210004HWA;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004HWA
DEBW_52210004za1;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004za1
DEBW_52210005jPg;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005jPg
DEBW_52210004Hxc;UsageZoneName [name=residential];No usage;No other usages;0,40;DEBW_52210004Hxc
DEBW_52210005JLO;UsageZoneName [name=residential];No usage;No other usages;0,40;DEBW_52210005JLO
DEBW_52210004yVr;UsageZoneName [name=building for stockpiling];No usage;No other usages;0,63;DEBW_52210004yVr
