hour,trnsys_heating_demand_kwh_h,trnsys_cooling_demand_kwh_h
5159,0.0,2.265328774426097
5160,0.0,1.7147745920291668
5161,0.0,1.2839565731814702
5162,0.0,0.9470070736853489
5163,0.0,0.7843324658878877
5164,0.0,0.6403394675005013
5165,0.0,0.5258718065979013
5166,0.0,0.5970281920207101
5167,0.0,0.8410712433829677
5168,0.0,1.1509125810726175
5169,0.0,1.5115551321053093
5170,0.0,1.9023029938833171
5171,0.0,2.5908539035955376
5172,0.0,3.3797161795299573
5173,0.0,4.870726846700248
5174,0.0,7.511521325463182
5175,0.0,9.202965460187349
5176,0.0,10.992935246848518
5177,0.0,11.470038453968098
5178,0.0,10.297834701362127
5179,0.0,9.48897720295585
5180,0.0,5.425698007106193
5181,0.0,3.5949431261747824
5182,0.0,2.4023143668085765
5183,0.0,1.6739852271711586
5184,0.0,1.154868461569632
5185,0.0,0.8181447708135723
5186,0.0,0.606082004360287
5187,0.0,0.37745068691182593
5188,0.0,0.190029861864726
5189,0.0,0.1100634467809383
5190,0.0,0.1413737046871069
5191,0.0,0.3747756983016006
5192,0.0,0.7670521144915903
5193,0.0,1.244785444843696
5194,0.0,1.5996334675112949
5195,0.0,1.9217309627170471
5196,0.0,2.2008534750327895
5197,0.0,2.4000899209508657
5198,0.0,3.176959685792939
5199,0.0,5.639114684042708
5200,0.0,6.090767323543558
5201,0.0,5.906638492676041
5202,0.0,7.137892074501604
5203,0.0,6.690880795948873
5204,0.0,2.9662388354391043
5205,0.0,1.6737696908744852
5206,0.0,0.9323218085216488
5207,0.0,0.7019719125940254
5208,0.0,0.5286705218006439
5209,0.0,0.39377944395279174
5210,0.0,0.3007802091537613
5211,0.0,0.2495266286489964
5212,0.0,0.2070565190748877
5213,0.0,0.1726487273799284
5214,0.0,0.2153477243265822
5215,0.0,0.4257182120653386
5216,0.0,2.920719024180281
5217,0.0,4.536865647199051
5218,0.0,4.492146730221308
5219,0.0,3.170065572876354
5220,0.0,3.2008255175167304
5221,0.0,3.753441846187221
5222,0.0,6.908920024224466
5223,0.0,9.336076121029095
5224,0.0,10.149131029755992
5225,0.0,9.899923987838013
5226,0.0,9.732535625028733
5227,0.0,8.679516337252556
5228,0.0,7.019776684588141
5229,0.0,4.1750059751833195
5230,0.0,2.850431047864242
5231,0.0,1.9115082648139894
5232,0.0,1.081363379061133
5233,0.0,0.607248490214608
5234,0.0,0.31903516706668594
5235,0.0,0.2054602082373215
5236,0.0,0.1036253912887494
5237,0.0,0.0
5238,0.0,0.8658765109000686
5239,0.0,2.612834777227084
5240,0.0,4.45623871249825
5241,0.0,6.375459440535713
5242,0.0,8.367986640536563
5243,0.0,10.263950148130016
5244,0.0,11.319062577418501
5245,0.0,12.315959679366983
5246,0.0,13.944467929589365
5247,0.0,15.322014679015037
5248,0.0,16.504717108657285
5249,0.0,16.92460849536716
5250,0.0,16.197419556201137
5251,0.0,16.08162918155038
5252,0.0,13.424614900376843
5253,0.0,9.685291469333169
5254,0.0,7.797961607655969
5255,0.0,6.815484893356024
5256,0.0,6.571113470441382
5257,0.0,6.561012147280838
5258,0.0,6.520305722604931
5259,0.0,6.139751029934372
5260,0.0,5.436354198109167
5261,0.0,4.383928230108027
5262,0.0,3.528180724428256
5263,0.0,3.1312764378439892
5264,0.0,2.7499609438313524
5265,0.0,3.0555596207960964
5266,0.0,3.4831234414811725
5267,0.0,4.760571686415836
5268,0.0,5.372771322694833
5269,0.0,5.339400643787287
5270,0.0,4.143099330048361
5271,0.0,3.5220187664526903
5272,0.0,2.9090430973458568
5273,0.0,3.1364161149553866
5274,0.0,3.3016884786926677
5275,0.0,5.575853913687137
5276,0.0,2.1698220870279084
5277,0.0,1.1308100476074308
5278,0.0,0.6523726478760363
5279,0.0,0.39529906988889296
5280,0.0,0.2087198115176498
5281,0.0,0.0921938467174024
5282,0.0,0.0
5283,0.0,0.0
5284,0.0,0.0
5285,0.0,0.0
5286,0.0,0.5850583595226393
5287,0.0,1.7372293785607487
5288,0.0,3.1362350647495703
5289,0.0,4.279522274480033
5290,0.0,4.980999165079492
5291,0.0,4.4716882911037015
5292,0.0,5.661945756391473
5293,0.0,6.22850515415305
5294,0.0,6.84028441267688
5295,0.0,7.330606904183247
5296,0.0,8.74646310995978
5297,0.0,9.002367340403095
5298,0.0,7.904570326488125
5299,0.0,7.412931981426179
5300,0.0,4.504178835580718
5301,0.0,2.225354934768418
5302,0.0,0.9246458877748145
5303,0.0,0.4075681102048434
5304,0.0,0.1618840809060687
5305,0.0,0.0
5306,0.0,0.0
5307,0.0,0.0
5308,0.0,0.0
5309,0.0,0.0
5310,0.0,0.185749691385467
5311,0.0,0.5381097909975586
5312,0.0,1.7379956153660332
5313,0.0,2.868628042368226
5314,0.0,3.9178016715172195
5315,0.0,4.5475286484911335
5316,0.0,5.230229634909604
5317,0.0,5.124599549406469
5318,0.0,6.78498280534051
5319,0.0,8.471947523116194
5320,0.0,8.181841264903017
5321,0.0,9.346561776371964
5322,0.0,9.198013198586164
5323,0.0,7.227509327707908
5324,0.0,5.397951638539
5325,0.0,3.139596577621341
5326,0.0,1.8559815163108742
5327,0.0,0.8445627722433791
5328,0.0,0.4711729267521554
5329,0.0,0.2735175370919832
5330,0.0,0.106396419427191
5331,0.0,0.0
5332,0.0,0.0
5333,0.0,0.0
5334,0.0,0.4501173863768296
5335,0.0,1.4668342527844407
5336,0.0,2.872877258273034
5337,0.0,4.356702853405723
5338,0.0,5.798050049149703
5339,0.0,6.664876092272501
5340,0.0,7.4307793716908535
5341,0.0,8.348581222316481
5342,0.0,9.81416793133512
5343,0.0,11.426996549873648
5344,0.0,12.554782996949822
5345,0.0,12.84861070142686
5346,0.0,12.66249664405837
5347,0.0,12.237782416669862
5348,0.0,9.385312889743401
5349,0.0,6.303039331992307
5350,0.0,4.610747170890285
5351,0.0,3.2164650633944585
5352,0.0,2.289075731919082
5353,0.0,1.5064863762901624
5354,0.0,0.8684769334518769
5355,0.0,0.5681633455458036
5356,0.0,0.4030039992543687
5357,0.0,0.2927939821229585
5358,0.0,0.2323044491526525
5359,0.0,0.3538032357619197
