hour,simstadt_heating_demand_kwh_h
2171,703.3000000000001
2172,660.3000000000003
2173,618.5999999999996
2174,597.4999999999999
2175,576.8999999999999
2176,593.1
2177,589.9999999999998
2178,624.2999999999998
2179,679.5999999999999
2180,734.5999999999999
2181,754.6999999999998
2182,776.7999999999997
2183,788.1000000000003
2184,781.3
2185,801.5
2186,781.9999999999999
2187,800.2999999999998
2188,773.5999999999997
2189,764.6999999999999
2190,751.6999999999997
2191,746.7999999999997
2192,713.6999999999998
2193,626.9999999999998
2194,556.5000000000002
2195,484.69999999999993
2196,402.2999999999999
2197,368.69999999999993
2198,350.1999999999999
2199,302.2
2200,274.6000000000001
2201,271.60000000000014
2202,285.10000000000014
2203,342.30000000000007
2204,364.4
2205,398.90000000000003
2206,430.8000000000001
2207,426.9000000000001
2208,435.20000000000016
2209,458.2000000000002
2210,476.19999999999976
2211,493.69999999999976
2212,509.49999999999983
2213,494.6999999999998
2214,473.8999999999999
2215,456.20000000000033
2216,449.5000000000005
2217,398.7
2218,330.9000000000002
2219,265.09999999999997
2220,225.00000000000009
2221,187.99999999999997
2222,140.10000000000008
2223,114.20000000000005
2224,111.89999999999999
2225,158.0
2226,211.7
2227,282.90000000000026
2228,326.9000000000002
2229,385.7
2230,434.40000000000015
2231,502.7999999999999
2232,534.2000000000002
2233,571.1000000000001
2234,601.4
2235,601.0
2236,608.0
2237,599.6000000000001
2238,611.9999999999998
2239,589.3999999999997
2240,552.5000000000002
2241,519.2999999999998
2242,430.8000000000001
2243,385.7
2244,341.20000000000005
2245,295.8
2246,265.49999999999994
2247,252.69999999999996
2248,261.2
2249,283.7000000000002
2250,322.50000000000006
2251,382.69999999999993
2252,417.1
2253,456.3000000000003
2254,464.79999999999995
2255,476.8999999999998
2256,510.0999999999998
2257,552.5000000000002
2258,533.8000000000001
2259,534.2000000000002
2260,549.4000000000001
2261,554.8000000000003
2262,565.4000000000001
2263,562.7000000000003
2264,562.4000000000002
2265,523.8999999999999
2266,470.69999999999993
2267,424.8000000000001
2268,379.99999999999983
2269,343.6
2270,323.60000000000014
2271,309.5000000000001
2272,282.5000000000002
2273,320.8
2274,358.2999999999999
2275,389.3
2276,448.90000000000055
2277,477.0999999999998
2278,493.9999999999998
2279,503.09999999999985
2280,527.0000000000001
2281,567.1000000000003
2282,581.9999999999998
2283,580.9999999999998
2284,597.8
2285,594.4
2286,586.5999999999998
2287,572.1000000000001
2288,550.3000000000003
2289,522.7999999999998
2290,480.2999999999998
2291,389.79999999999995
2292,343.5
2293,289.00000000000006
2294,250.39999999999986
2295,251.09999999999985
2296,273.2000000000001
2297,275.00000000000006
2298,278.20000000000016
2299,342.00000000000006
2300,383.8
2301,420.6000000000001
2302,447.3000000000005
2303,496.8999999999999
2304,509.1999999999998
2305,528.7000000000002
2306,518.1999999999998
2307,531.7000000000002
2308,529.6000000000001
2309,544.3000000000001
2310,550.1000000000003
2311,546.6
2312,492.69999999999976
2313,479.9999999999998
2314,429.40000000000015
2315,357.89999999999986
2316,314.79999999999995
2317,290.9000000000001
2318,249.59999999999988
2319,229.50000000000017
2320,221.20000000000007
2321,204.69999999999996
2322,228.50000000000014
2323,241.99999999999997
2324,258.90000000000003
2325,268.5
2326,251.79999999999993
2327,247.49999999999986
2328,241.79999999999998
2329,255.8
2330,256.90000000000003
2331,281.00000000000017
2332,299.69999999999993
2333,299.8999999999999
2334,303.4
2335,296.1
2336,284.3000000000002
2337,265.69999999999993
2338,203.79999999999995
2339,145.80000000000004
2340,121.30000000000004
2341,81.59999999999998
2342,82.39999999999998
2343,92.00000000000001
2344,98.39999999999998
2345,145.20000000000005
2346,211.7
2347,264.2
2348,304.4999999999999
2349,350.7999999999999
2350,423.40000000000015
2351,457.5000000000002
2352,516.2999999999998
2353,550.5000000000002
2354,570.3000000000001
2355,585.1
2356,574.8
2357,583.2999999999998
2358,574.4
2359,576.6999999999998
2360,538.9000000000001
2361,481.49999999999994
2362,438.5000000000001
2363,375.4999999999998
2364,310.6
2365,282.40000000000026
2366,274.00000000000006
2367,241.1
2368,255.9
2369,265.69999999999993
2370,328.3000000000003
2371,395.19999999999993
2372,421.7000000000001
2373,466.2
2374,501.7999999999997
2375,518.3999999999999
2376,538.9000000000001
2377,549.0000000000001
2378,551.8000000000004
2379,565.4000000000001
2380,560.6000000000004
2381,566.5000000000001
2382,561.2000000000002
2383,549.1000000000001
2384,557.5000000000003
2385,511.1999999999999
2386,480.0999999999998
2387,434.40000000000015
2388,400.79999999999995
2389,348.0
2390,322.30000000000007
2391,321.30000000000007
2392,322.1000000000001
2393,349.89999999999986
2394,344.9999999999999
2395,338.9000000000001
2396,375.4999999999998
2397,400.4
2398,424.90000000000015
2399,424.00000000000017
2400,424.2000000000002
2401,427.2000000000001
2402,434.3000000000001
2403,413.49999999999983
2404,445.3000000000005
2405,435.6000000000002
2406,453.8000000000003
2407,454.9000000000003
2408,445.20000000000056
2409,416.6000000000001
2410,344.9999999999999
2411,295.8
2412,232.9000000000001
2413,211.29999999999998
2414,193.19999999999985
2415,165.1000000000001
2416,174.29999999999995
2417,217.40000000000006
2418,252.99999999999994
2419,320.0000000000001
2420,367.19999999999993
2421,371.19999999999993
2422,385.8
2423,430.8000000000001
2424,475.9999999999998
2425,497.2999999999999
2426,522.4999999999999
2427,526.0
2428,564.0000000000002
2429,559.9000000000003
2430,562.3000000000003
2431,555.1000000000003
2432,529.6000000000001
2433,503.09999999999985
2434,493.4999999999998
2435,477.4999999999998
2436,447.4000000000005
2437,439.00000000000017
2438,438.90000000000015
2439,445.8000000000005
2440,456.80000000000035
2441,441.30000000000024
2442,447.4000000000005
2443,492.9999999999998
2444,497.7
2445,518.1999999999998
2446,542.1999999999999
2447,540.5999999999999
2448,562.7000000000003
2449,604.1999999999999
2450,596.8999999999999
2451,607.5999999999999
2452,614.1999999999997
2453,618.6999999999996
2454,618.5999999999996
2455,588.1999999999997
2456,569.9
2457,530.2000000000002
2458,454.6000000000003
2459,407.49999999999994
2460,377.5999999999998
2461,332.6000000000002
2462,323.30000000000007
2463,335.70000000000005
2464,330.4000000000002
2465,338.1000000000001
2466,367.7999999999999
2467,385.8
2468,438.2000000000001
2469,452.8000000000004
2470,488.99999999999994
2471,519.6999999999998
2472,539.8000000000002
2473,544.3000000000001
2474,563.6000000000003
2475,590.5999999999998
2476,620.0999999999996
2477,614.4999999999998
2478,614.4999999999998
2479,633.5999999999999
2480,624.9999999999999
2481,608.6
2482,600.2
2483,570.1
2484,536.5000000000002
2485,520.8
2486,522.8999999999999
2487,519.1999999999999
2488,524.3
2489,509.49999999999983
2490,538.8000000000002
2491,571.4000000000001
2492,615.2999999999998
2493,637.8000000000002
2494,648.0000000000003
2495,638.9000000000001
2496,662.3000000000003
2497,663.5000000000002
2498,652.9000000000002
2499,658.7000000000004
2500,634.9999999999999
2501,647.5000000000003
2502,646.2000000000003
