Building ID,building_type,usage_type,heated_area_m2,heated_volume_m3,window_to_heated,window_to_wall,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct,heating_mismatch_score,heating_diff_abs_kwh,heating_diff_abs_pct
DEBW_52210004f3W,MFH,residential,211.9,662.1,0.33747050495516756,0.1957729898431297,6773.157315153145,7596.1,-822.9426848468556,-10.833752647369778,10.833752647369778,822.9426848468556,10.833752647369778
DEBW_52210006Iok,EFH,residential,246.1,769.0,0.22161722876879317,0.179307624026038,6691.849843221068,7498.1,-806.2501567789323,-10.752726114334727,10.752726114334727,806.2501567789323,10.752726114334727
DEBW_52210004Hls,EFH,residential,275.0,859.3,0.20370909090909092,0.1689384800965018,6626.812307725244,7408.6,-781.7876922747564,-10.552434903689717,10.552434903689717,781.7876922747564,10.552434903689717
DEBW_52210003qta,MFH,residential,219.5,686.1,0.26519362186788153,0.21331720902961,6220.584525049184,6951.099999999999,-730.5154749508156,-10.509350677602331,10.509350677602331,730.5154749508156,10.509350677602331
DEBW_52210005ej5,MFH,residential,348.9,1090.4,0.22599598738893667,0.2194728198847663,9101.56879449795,10167.9,-1066.3312055020488,-10.487231439157043,10.487231439157043,1066.3312055020488,10.487231439157043
DEBW_52210004yBG,MFH,residential,541.5,1692.3,0.22169898430286242,0.2110620791504773,14267.45245566752,15936.100000000002,-1668.6475443324816,-10.470865169850098,10.470865169850098,1668.6475443324816,10.470865169850098
DEBW_52210005L4M,MFH,residential,226.6,708.0,0.2540158870255958,0.2125161528521321,6354.457460116069,7096.4,-741.9425398839303,-10.455196154161692,10.455196154161692,741.9425398839303,10.455196154161692
DEBW_52210006KcE,MFH,residential,399.2,1247.5,0.19777054108216435,0.2176250068912288,10793.69516286215,12045.8,-1252.1048371378492,-10.394534502796406,10.394534502796406,1252.1048371378492,10.394534502796406
DEBW_52210004HIN,RH,residential,286.3,894.6,0.30513447432762836,0.2999279019466475,8143.751467372252,7389.299999999999,754.4514673722524,10.210053284780052,10.210053284780052,754.4514673722524,10.210053284780052
DEBW_52210003snr,MFH,residential,266.4,832.5,0.2758633633633634,0.2102537693474094,7698.837317216081,8569.400000000001,-870.5626827839205,-10.158968921790562,10.158968921790562,870.5626827839205,10.158968921790562
DEBW_52210006J9b,MFH,residential,615.6,1923.8,0.21211825860948666,0.210080924111524,14899.553151898624,16582.0,-1682.4468481013755,-10.146223906050992,10.146223906050992,1682.4468481013755,10.146223906050992
DEBW_52210004zH7,MFH,residential,301.4,941.9,0.212342402123424,0.222152799472387,7526.481181214631,8348.1,-821.6188187853695,-9.841985826539805,9.841985826539805,821.6188187853695,9.841985826539805
